catalog,model,generated_title,llm_says,llm_pick,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,same_item,human_in,llm_dep,llm_in,llm8_in,tset_in,tsort_in,surf_in,cand_1_id,cand_2_id,cand_3_id,cand_4_id,cand_5_id,cand_6_id,cand_7_id,cand_8_id
amazon,mistral,Barbie Fashionistas Doll #171 with Wheelchair,OUT,,"Barbie Fashionistas Doll #166 with Wheelchair and Ramp, Crimped Brunette Hair and Rainbow-Striped Dress with Accessories [Amazon Exclusive]","Barbie Fashionistas Doll #194 with Wheelchair and Ramp, Natural Black Hair and Rainbow Heart Romper with Accessories","Barbie Fashionistas Doll #165 with Wheelchair and Ramp, Wavy Blonde Hair and Tropical-Print Outfit with Accessories (Amazon Exclusive)","Barbie Ken Fashionistas Doll #167 with Wheelchair and Ramp Wearing Tie-Dye Shirt, Black Shorts and Accessories (Amazon Exclusive)","Barbie Fashionistas Doll #194 with Wheelchair and Ramp, Straight Blonde Hair and Rainbow Romper with Accessories","Barbie Ken Fashionistas Doll #195 with Wheelchair and Ramp Wearing Beach Shirt, Orange Shorts and Accessories","Barbie Chelsea Doll & Wheelchair with Moving Wheels, Ramp, Sticker Sheet & Accessories, Small Doll with Blond Hair","Barbie DreamHouse, Doll House Playset with 75+ Furniture & Accessories, 10 Play Areas, Lights & Sounds, Wheelchair-Accessible Elevator",0,False,False,False,False,True,False,False,B08HG1NWKB,B0B627GTQM,B08HFD54R2,B08HFZMN51,B0B5HSR626,B0B62743R6,B09NLDFPVK,B0C87LKLLC
yelp,mistral,Bun Bo Hue Vietnamese,OUT,,,,,,,,,,0,False,False,False,False,True,False,False,N5iwU0TgYBVkCYFro0LgRQ,giALugMCSQ7Tq_0xl1Bpjw,Ry_7pocLHzf3fip7JgqXcQ,LxoV1qsoYsVFJ5onlqJgsQ,-PqeUUIN8Qgqhv5KMiRfHA,Z7ylKudufkf3q2jKQmljVw,K5feXpwgkMGh9J1fzT66KQ,w4IQgsop_jBhxfW7CtY7IA
amazon,mistral,VTech KidiBeats Drum Set (Frustration-Free Packaging),OUT,,"VTech KidiZoom Smartwatch DX2 (Frustration Free Packaging), Blue",VTech Touch & Teach Word Book (Frustration Free Packaging),VTech Level Up Gaming Chair (Frustration Free Packaging),VTech Toddle and Stroll Musical Elephant Walker (Frustration Free Packaging),VTech GearZooz Roll & Roar Animal Train (Frustration Free Packaging),VTech 7-in-1 Senses and Stages Developmental Gym (Frustration Free Packaging),VTech Deluxe Track Set (Frustration Free Packaging),"VTech Touch and Learn Activity Desk (Frustration Free Packaging), Green",0,False,False,False,False,False,False,False,B08NPPWJN9,B07Y5BKMZV,B09MYFT31S,B08N6FJ5N2,B07XM53SPX,B09MYN235R,B071J5QMCY,B09NNYPB71
yelp,mistral,Vernick Food & Drink,IN,,,,,,,,,,1,True,True,True,True,True,True,True,mtvT7uRey3F395STFRM1Tg,YdpDpp130fxiX2DUdQLSqg,HQmvpld1zlz-Q1ym8pRWAw,_ouzokto3qEMm1Xa3W1drw,YqWVZVsuE5B4a-Tp8ESvug,-8iATYRnN46Km0_-ldx6cg,larqjPOY5TfoFcQoK_7FgA,2OQlbtkHupTKoVcgGaNINA
amazon,llama,PlanToys Drum Set,OUT,,PlanToys Big Drum II,PlanToys Solid Drum Toddler Musical Instrument - Sustainably Made from Rubberwood Featuring Organic-Pigment Coloring and Water-Based Dyes Featuring Drumstick with Rubber Head,PlanToys Solid Drum Toddler Musical Instrument - Sustainably Made from Rubberwood Featuring Organic-Pigment Coloring and Water-Based Dyes Featuring Drumstick with Rubber Head,PlanToys Solid Drum Musical Instrument in Natural Wood (6439) | Sustainably Made from Rubberwood and Non-Toxic Paints and Dyes |PlanNatural Classic Wooden Toy Collection,PlanToys Shape Sorter,PlanToys Rain Maker Musical Instrument (6427) | Sustainably Made from Rubberwood and Non-Toxic Paints and Dyes,PlanToys Dancing Alligator Push & Pull Toy - Sustainably Made from Rubberwood with 3 Organic-Pigment Color Options and Makes Click-Clack Sounds and Dancing Movements when Pulled (Natural),PlanToys Tree House Play Set (6626),0,False,False,False,False,False,False,False,B002P8R6YS,B00009YOQW,B00009YOQW,B084GH4Z9W,B00BJ67JQ2,B01D8Y81RI,B0BLD5CSS2,B0C4Z2S8ZL
amazon,claude,LEGO Star Wars 75021 Republic Gunship,IN,LEGO Star Wars - Republic Gunship,Lego Star Wars Minifigure Red Clone Trooper Captain from Republic Gunship (75021),"VONADO Republic Gunship Based Set 75021 Building Kit MOC Model Toys Gift to Adults,Thanksgiving Christmas Birthday Gift for Kids (1707 PCS)",LEGO Star Wars BrickMaster Exclusive Mini Building Set #20010 Republic Attack Gunship [Bagged],"LEGO Star Wars Republic Gunship 75309 UCS Display Model Kit for Adults to Build, Ultimate Collector Series, Office or Home Decor Gift Idea",LEGO Star Wars - Republic Gunship,LEGO Star Wars Republic Gunship,LEGO Star Wars Republic Gunship,LEGO Star Wars Microfighters Series 2 Republic Gunship (75076),5,True,False,True,True,True,True,True,B00EPQZAIC,B0897MTTCC,B002WVM9W2,B09P6RNDPP,B0C1P1KWCZ,B00B0IILHA,B00B0IILHA,B00NHQI5YC
movielens,mistral,X2: X-Men United,IN,,,,,,,,,,1,True,True,True,True,True,True,True,6333,3764,3793,45499,68319,87232,111362,122924
yelp,claude,Domino's Pizza,IN,,,,,,,,,,1,True,True,True,True,True,True,True,cwSlDlrmK1qlOWH9zDuNKQ,cwSlDlrmK1qlOWH9zDuNKQ,cwSlDlrmK1qlOWH9zDuNKQ,cwSlDlrmK1qlOWH9zDuNKQ,cwSlDlrmK1qlOWH9zDuNKQ,cwSlDlrmK1qlOWH9zDuNKQ,cwSlDlrmK1qlOWH9zDuNKQ,cwSlDlrmK1qlOWH9zDuNKQ
yelp,llama,Abe Fisher,IN,,,,,,,,,,1,True,True,True,True,True,True,True,vhDWGF-8BfsxvS7Zo5Wv2w,UOWXGW5j1BV-iiqtbBS6jQ,L_piwi81xQ8ZsMR-fhBKpg,YedKs_jpocLcOHCzcRJ7cQ,sD0wBvVazPzXQraf047nDA,Wwwv2LbD1g2vtqYNt0o6mA,ltfQudmmrP151psai7zJmQ,I-SZ0TYMFK429AUImSJ3DA
amazon,llama,Schleich Horse Farm Playset with Figures and Accessories,IN,Schleich Farm with Animals and Accessories Playset,"Schleich Farm World, Farm Playset Gifts for Kids, Farm World Starter Playset for Toddlers and Kids with Cat, Horse, Puppy, and Cow 4-Piece Set, Ages 3+","Schleich Farm World 7-Piece Rodeo Toy Playset for Kids, Barrel Racing Fun with Cowgirl and Horse Figurine","Schleich Farm World, Farm Toys for Girls and Boys Ages 3-8, 16-Piece Playset, Veterinarian Visit to the Horse Stall","Schleich Farm World Pony Agility Training 41-piece Horse Playset for Kids Ages 3-8 , Brown","Schleich Farm World, Horse Toy for Girls and Boys, Pony Slalom Playset with Horse Figurine 12-piece set, Ages 3+","Schleich Farm World, 30-Piece Playset, Farm Toys and Farm Animals for Kids Ages 3-8, Horse Stable 10.5 x 49 x 34.5 cm","Schleich Farm World, Horse Toys for Kids, Pony Agility Race Playset with Horse Figurines and Accessories 22-piece set, Ages 3+","Flyintoys Farm Animals Figures Playset with Stable,Farm Toys Set with Farmers,Horse and Fence Farm Vehicle Playset,Educational Toys for Kids Boys Girls Toddlers Pretend Play",0,False,False,True,True,True,False,False,B0B16YD1J9,B0CBDN2VSQ,B07B46H2R8,B099Y47G53,B07G9GRHWT,B0CBD8FFPN,B0BGZ8THZK,B09WDGPM4M
