catalog,generated_title,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,same_item,cand_1_id,cand_2_id,cand_3_id,cand_4_id,cand_5_id,cand_6_id,cand_7_id,cand_8_id
amazon,Yu-Gi-Oh! - Elemental Hero Wildheart (LCGX-EN050) - Legendary Collection 2 - 1st Edition - Rare,YU-GI-OH! - Elemental Hero Shining Flare Wingman (LCGX-EN050) - Legendary Collection 2 - 1st Edition - Secret Rare,YU-GI-OH! - Elemental Hero Glow Neos (LCGX-EN061) - Legendary Collection 2 - 1st Edition - Rare,YU-GI-OH! - Elemental Hero Divine Neos (LCGX-EN077) - Legendary Collection 2 - 1st Edition - Ultra Rare,YU-GI-OH! - Elemental Hero Chaos Neos (LCGX-EN065) - Legendary Collection 2 - 1st Edition - Ultra Rare,YU-GI-OH! - Elemental Hero Avian (LCGX-EN002) - Legendary Collection 2 - 1st Edition - Secret Rare,Yu-Gi-Oh!! - Elemental Hero Steam Healer (LCGX-EN051) - Legendary Collection 2 - 1st Edition - Rare,YU-GI-OH! - Elemental Hero Knospe (LCGX-EN035) - Legendary Collection 2 - 1st Edition - Rare,YU-GI-OH! - Elemental Hero Woodsman (LCGX-EN034) - Legendary Collection 2 - 1st Edition - Super Rare,0,B0062DWPTI,B0062DWR2I,B0062DWNNG,B0062DWJJE,B0062DWG10,B0062DXEMK,B0062DWUW0,B0062DXLM8
movielens,Michael Clayton (2007),,,,,,,,,1,55276,891,991,1409,118282,127118,,
yelp,Ambler Restaurant & Bar,,,,,,,,,0,Ax2r0idPQ81vmX37QMwFpA,sXyYBK2AnpJLYqbVR1asPg,Ar_8YUzqeb5FwthWBY-SSA,qD6EoM0lbEA-0tfPTO9qpw,oZzN706lKoL4faaTK739xA,NAlD7HIJolhcN-5kXk5Dqg,hR_j-38v2pOesza1j6akBA,K_10kFcXYtk5l9_3S7k3GA
yelp,Bluebird Coffee Roasters,,,,,,,,,0,-kY_HDP7IMvGl-kBIZVU4A,9XpU6r6ATXSWYfbU7kibaQ,_mM29ipaSjYo4zJZkswZiA,bpEiVcivZFHixcDGKXQQJA,OPQWnVzSu70iE26LOaZiJw,OPQWnVzSu70iE26LOaZiJw,ud1DYfS8px87ApE5uDdRAw,38F4LbjmsdptNIdCdQiY2A
yelp,California Pizza Kitchen,,,,,,,,,1,WlEseclwPGiFinAk-h1Tdg,TUtf4FLtotdQDleYpRIfnw,UXJEQycac7JKyyTVDjWBdA,odqgXlLcuedUMyD8Aetwfg,WlEseclwPGiFinAk-h1Tdg,WlEseclwPGiFinAk-h1Tdg,WlEseclwPGiFinAk-h1Tdg,
movielens,Oldboy (2003),,,,,,,,,0,107314,160181,141660,5393,,,,
movielens,Let The Right One In (2008),,,,,,,,,1,61240,148785,1231,2828,180355,6815,161242,139403
movielens,Oldboy (2003),,,,,,,,,0,107314,160181,141660,5393,,,,
yelp,The Fish Market,,,,,,,,,0,09yzPKqhvm_kJo6S5vsS3w,cMrmgiKUmJ_7g4fxFmUygA,YuIpYKTjj2HRcsdMX7QCww,IR46YDkF358WDZuqZ4M2mQ,eRr4HzKYnT4ByWTIMeAciQ,eRr4HzKYnT4ByWTIMeAciQ,eRr4HzKYnT4ByWTIMeAciQ,eRr4HzKYnT4ByWTIMeAciQ
amazon,"NECA Alien vs Predator 7"" Action Figure",NECA Alien vs Predator (Arcade Appearance) - 7” Scale Action Figures - Dutch & Linn 2-Pack,Alien VS. Predator NECA Exclusive Action Figure 2 Pack Alien Vs. Predator,"NECA - Alien vs Predator (Arcade Appearance) - 7"" Scale Action Figure - Warrior Predator","NECA - Alien vs Predator (Arcade Appearance) - 7"" Scale Action Figure - Hunter Predator","NECA Predator Series 17 AVP Elder Action Figure, 7""",NECA Predator 1/4 Scale Action Figure,"NECA Aliens 7"" Scale Action Figures (2 Pack)","NECA Predator Series 15 Ancient Warrior Action Figure, 7""",0,B07H8KH2XY,B004GPDCH8,B07MJ7RX8J,B07MFZNCR4,B01N6VFIJ8,B071ZQTJ8T,B01M0YHVN2,B01B65ZAKM
amazon,Ken Doll Clothes and Accessories,"BARWA 3pc Ken Doll Clothes Black Tuxedo Suit with Tie White Shirt, Pants and Jacket for 12 inch Ken Doll","Barbie Clothes: 1 Outfit for Ken Doll Includes Striped Shirt, Denim Shorts and Shoes, Gift for 3 to 8 Year Olds ​, GHX46","Barbie Clothes -- Career Outfits for Ken Doll, Musician Look with Saxophone, Multi","Barbie Clothes - Career Outfits for Ken Doll, Science Teacher Look with Textbook, Gift for 3 to 8 Year Olds​",Barbie Ken Doll and Accessories,Barbie Ken Doll and Accessories,Barbie® Doll And Accessories,Barbie Doll and Accessories,0,B081QHDJ7W,B07Z5Q4RMK,B082N7RBD3,B082N7KDJV,B07FDL4QFD,B07FDL4QFD,B09NP3KTL4,B079QGC9CP
movielens,Heavenly Creatures (1994),,,,,,,,,1,247,787,5215,25892,147462,128622,1425,
amazon,Metal Polyhedral RPG Dice Set – 7-Piece Titanium Finish,"DND Metal Dice Set | 8 High Definiton, Polyhedral Dice for RPG, Dungeons & Dragons | by Hexblade Gaming | Inc. 2 x D20, Metal Presentation Box | Burnished Pewter Finish with Emerald Numbers","Bescon Heavy Duty Solid Metal Dice Set Nickle Finish, Metallic Polyhedral D&D RPG Game Dice 7pcs Set","DND Metal Dice Set | 8 High Definiton, Polyhedral Dice for RPG, Dungeons & Dragons | by Hexblade Gaming | Inc. 2 x D20, Metal Presentation Box | Black Nickel Finish with Electric Blue Numbers","Bescon 10pcs Set Ancient Brass Solid Metal Polyhedral D&D Dice Set, Old Finish Bronze Metal RPG Role Playing Game Dice 7+3 Extra D6s'",Q WORKSHOP Metal Steampunk Dice Set 7 Polyhedral Pieces,Blue Pearl RPG Dice - Full Polyhedral Set - 'Nightfall',"Polyhedral Dice Set (7-Piece), Green/White Glitter","Koplow Games Polyhedral Dice Set (7-Piece), Pearlized Red/White",0,B08B1SDBTW,B07DNG3JY1,B08769RC1Y,B07DNFKZM8,B009L5X5PC,B083ZDB6W2,B00M6XJDPC,B00O9XS54W
amazon,LEGO Creator Expert Carousel,LEGO Creator Expert Carousel 10257 Building Kit (2670 Pieces) (Discontinued by Manufacturer),LEGO Creator Expert Carousel 10257 Building Kit (2670 Pieces),LIGHTAILING Light Set for (Creator Expert Carousel) Building Blocks Model - Led Light kit Compatible with Lego 10257(NOT Included The Model),LEGO Creator 3in1 Fairground Carousel 31095 Building Kit (595 Pieces),LEGO Creator Cargo Heli,Lego Creator (Jewel Case) - PC,LEGO Creator Expert 10276 Colosseum (9036pcs),LEGO® Cargo Copter,1,B072MHYHXJ,B071NT3DST,B07QPXKHRL,B08X2PZHYV,B00NHQGK62,B0009NWBOG,B08P11X1HX,B000Y8D6NG
amazon,Mattel Disney Princess Moana Fashion Doll,"Mattel Disney Princess Moana Small Doll Story Pack with 1 Moana Doll, 5 Character Figures and 1 Accessory From the Movie","Mattel Disney Princess Moana Small Doll & Boat Playset with Floating Boat Vehicle & 2 Character Friends, from Disney Movie","Disney Princess Royal Shimmer Moana Doll, Fashion Doll with Skirt and Accessories, Toy for Kids Ages 3 and Up, Multicolor","Disney Princess Moana of Oceania Fashion Doll with Skirt That Sparkles, Headband, & Necklace, Toy for 3 Year Olds & Up",Disney Princess Moana Island Fashions Doll,Disney Princess Fashion Doll,Disney Princess Moana Fashion Doll with Music,Disney Princess Magiclip Merida Doll and Fashion,0,B0B2BF33BK,B0B29N54YP,B08TDC4XND,B07WDCV8YY,B01JKAR1MU,B072XV6HD1,B01BOYCJBS,B00AGDE0SY
amazon,LEGO DUPLO Classic Brick Box 10913 First DUPLO Set with Storage Box,"LEGO DUPLO Classic Brick Box Building Set 10913 - Features Storage Organizer, Toy Car, Number Bricks, Build, Learn, and Play, Great Gift Playset for Toddlers, Boys, and Girls Ages 18+ Months","LEGO DUPLO Classic Deluxe Brick Box 10914 Starter Set - Features Storage Box, Bricks, Duplo Figures, Dog, and Car, Creative Play, Great Early Learning Toy for Toddlers Ages 18+ Months",LEGO DUPLO My First Animal Brick Box 10863 Building Blocks (34 Pieces),LEGO Brick Themes DUPLO My First Farm 6141,LEGO Bricks & More My First LEGO DUPLO Set 5931,"Classic Coral Stone & Black Marble Chess Set with 16"" Board",LEGO Classic XL Creative Brick Box Set #10654,"LEGO Brick 8 Knobs, Stackable Storage Box, White",1,B07WJJF8PB,B0C48C8GBG,B075M1G94H,B005VPRD3Q,B004478GGU,B0013BMI8M,B01MAXWM38,B08256X1XN
amazon,Yu-Gi-Oh! - Ghost Rare Cards from Premium Gold 3,YU-GI-OH! - Ghost of a Grudge (PGLD-EN029) - Premium Gold - Unlimited Edition - Gold Secret Rare,YU-GI-OH! - Ghost Ogre & Snow Rabbit (PGL3-EN052) - Premium Gold: Infinite Gold - 1st Edition - Gold Rare,Yu-Gi-Oh! - Mystical Space Typhoon (GLD5-EN038) - Gold Series: Haunted Mine - Limited Edition - Ghost/Gold Hybrid Rare,Yu-Gi-Oh! - Solemn Judgment (GLD5-EN045) - Gold Series: Haunted Mine - Limited Edition - Ghost/Gold Hybrid Rare,"Yu-Gi-Oh! Trading Cards Ghost from The Past, Multicolor",Yu-Gi-Oh! Ghosts from The Past Display,YU-GI-OH! - Dark Armed Dragon (PGLD-EN064) - Premium Gold - 1st Edition - Gold Rare,YU-GI-OH! - Cyber Dragon (PGLD-EN053) - Premium Gold - 1st Edition - Gold Rare,0,B00MAMO20U,B01CYP9ISS,B008AL14FG,B008AL15M8,B092383D5X,B08NXS1WJ7,B00J7YFCVW,B00J7YF7US
movielens,Braveheart (1995),,,,,,,,,1,110,26966,115763,653,,,,
yelp,Cafe Passe,,,,,,,,,1,wm23rnUccF_3en3NSN7afw,upf9BnmbiMvTxWUmBSLtog,bl1iirh_xT3KEUOVwi4e4g,bl1iirh_xT3KEUOVwi4e4g,-PGe8XbKh-vXkr57GKNEAw,,,
yelp,Fitz on 4th,,,,,,,,,0,_AStgdcAhL_0GWrA52tLHg,sCaB7oJvvwdg1ymuSx2Stg,qh2xcM_-oY45dQjyiHP8MQ,SySmQMPGQELEH9GEgEHUxw,PkDM_nwfFhI2vzKZiaLdBA,QYL5oyaJho38ZTWiIgTDSA,EIKbEHnsVg6dcsWopW4lkg,13jzD3emK7N-CtmFW-VzGg
