catalog,model,generated_title,confidence,surface_score,llm_in_catalog,llm_match_title,llm_match_id,llm_match_quartile
movielens,gpt-oss,The Usual Suspects (1995),86.0,100.0,True,,50,
movielens,mistral,Sunset Blvd.,84.0,100.0,True,,922,
movielens,llama,Pulp Fiction,85.0,100.0,True,,296,
movielens,llama,Zoolander,85.0,100.0,True,,4816,
movielens,claude,Secrets & Lies (1996),72.0,100.0,True,,1041,
movielens,llama,Sahara,74.0,100.0,False,,,
movielens,llama,Groundhog Day,85.0,100.0,True,,1265,
movielens,claude,Interstellar (2014),92.0,100.0,True,,109487,
movielens,mistral,Mad Max: Fury Road,86.0,100.0,True,,122882,
movielens,claude,The Great Mouse Detective (1986),92.0,100.0,True,,2048,
movielens,claude,Pretty Woman (1990),78.0,100.0,True,,597,
movielens,claude,Matchstick Men (2003),78.0,100.0,True,,6708,
movielens,claude,Seven (Se7en) (1995),79.0,78.57142857142857,True,,47,
movielens,claude,Ocean's Eleven (2001),78.0,100.0,True,,4963,
movielens,mistral,Inside Job,79.0,100.0,True,,80906,
movielens,gpt-oss,The Departed,78.0,100.0,True,,48516,
movielens,llama,Indiana Jones and the Raiders of the Lost Ark,85.0,100.0,True,,1198,
movielens,llama,The Lady Vanishes,78.0,100.0,True,,2208,
movielens,mistral,Demolition Man (1993),85.0,100.0,True,,442,
movielens,gpt-oss,His Girl Friday,84.0,100.0,True,,951,
movielens,claude,"Mask, The (1994)",76.0,100.0,True,,367,
movielens,gpt-oss,Goodfellas,75.0,100.0,True,,1213,
movielens,gpt-oss,Jerry Maguire (1996),84.0,100.0,True,,1393,
movielens,claude,Braveheart (1995),82.0,100.0,True,,110,
movielens,claude,Full Metal Jacket (1987),85.0,100.0,True,,1222,
movielens,llama,Minority Report,81.0,100.0,True,,5445,
movielens,llama,Juno,75.0,100.0,True,,56367,
movielens,claude,Almost Famous (2000),75.0,100.0,True,,3897,
movielens,llama,The Princess Bride,82.0,100.0,True,,1197,
movielens,claude,"Breakfast Club, The (1985)",75.0,100.0,True,,1968,
movielens,gpt-oss,Memento,80.0,100.0,True,,4226,
movielens,claude,Princess Mononoke (Mononoke-hime) (1997),75.0,100.0,True,,3000,
movielens,mistral,L.A. Confidential,87.0,100.0,True,,1617,
movielens,claude,Shall We Dance (2004),73.0,100.0,True,,8916,
movielens,llama,The Dark Knight,85.0,100.0,True,,58559,
movielens,mistral,"Big Lebowski, The (1998)",90.0,100.0,True,,1732,
movielens,gpt-oss,Eternal Sunshine of the Spotless Mind,77.0,100.0,True,,7361,
movielens,claude,Black Hawk Down (2001),80.0,100.0,True,,5010,
movielens,gpt-oss,Pulp Fiction (1994),95.0,100.0,True,,296,
movielens,gpt-oss,The Big Lebowski (1998),88.0,100.0,True,,1732,
movielens,gpt-oss,The Big Lebowski,88.0,100.0,True,,1732,
movielens,claude,Minority Report (2002),75.0,100.0,True,,5445,
movielens,llama,Reservoir Dogs,83.0,100.0,True,,1089,
movielens,gpt-oss,Clueless,84.0,100.0,True,,39,
movielens,llama,Face/Off,82.0,100.0,True,,1573,
movielens,mistral,The Departed,82.0,100.0,True,,48516,
movielens,claude,Shrek 2 (2004),78.0,100.0,True,,8360,
movielens,mistral,In & Out,88.0,100.0,True,,1614,
movielens,gpt-oss,The Boxtrolls,77.0,100.0,True,,114552,
movielens,mistral,Arlington Road (1999),81.0,100.0,True,,2707,
movielens,llama,Apocalypse Now,76.0,100.0,True,,1208,
movielens,claude,Saving Private Ryan (1998),79.0,100.0,True,,2028,
movielens,mistral,Deadpool,92.0,100.0,True,,122904,
movielens,claude,The Lobster (2015),72.0,100.0,True,,133771,
movielens,gpt-oss,Inception,89.0,100.0,True,,79132,
movielens,mistral,Forrest Gump (1994),82.0,100.0,True,,356,
movielens,claude,Batman Begins (2005),81.0,100.0,True,,33794,
movielens,mistral,Logan,91.0,100.0,True,,168252,
movielens,gpt-oss,Clueless,70.0,100.0,True,,39,
movielens,llama,The Sixth Sense (1999),81.0,100.0,True,,2762,
movielens,gpt-oss,Heat (1995),88.0,100.0,True,,6,
movielens,claude,Heavenly Creatures (1994),72.0,100.0,True,,247,
movielens,llama,Rush Hour,77.0,100.0,True,,2273,
movielens,mistral,Catch Me If You Can (2002),88.0,100.0,True,,5989,
movielens,mistral,The Fall,84.0,100.0,True,,59387,
movielens,llama,Sense and Sensibility,82.0,100.0,True,,17,
movielens,gpt-oss,The Iron Giant (1999),65.0,100.0,True,,2761,
movielens,llama,The Usual Suspects,78.0,100.0,True,,50,
movielens,gpt-oss,Oldboy (2003),80.0,0.0,False,,,
movielens,claude,Lady Bird (2017),75.0,100.0,True,,177615,
movielens,mistral,Casino,83.0,100.0,True,,16,
movielens,claude,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),92.0,100.0,True,,750,
movielens,llama,Taxi Driver,82.0,100.0,True,,111,
movielens,claude,Cast Away (2000),77.0,100.0,True,,4022,
movielens,claude,Hitch (2005),65.0,100.0,True,,31685,
movielens,claude,"Age of Innocence, The (1993)",76.0,100.0,True,,412,
movielens,claude,Michael Clayton (2007),70.0,100.0,True,,55276,
movielens,gpt-oss,Guardians of the Galaxy (2014),88.0,100.0,True,,112852,
movielens,llama,"I, Robot",76.0,100.0,True,,8644,
movielens,gpt-oss,"Crouching Tiger, Hidden Dragon (2000)",88.0,100.0,True,,3996,
movielens,mistral,The Bourne Ultimatum,85.0,100.0,True,,54286,
movielens,gpt-oss,Blade Runner 2049 (2017),92.0,100.0,True,,176371,
movielens,mistral,Gattaca (1997),84.0,100.0,True,,1653,
movielens,gpt-oss,The Green Mile,80.0,100.0,True,,3147,
movielens,gpt-oss,Charade,90.0,100.0,True,,911,
movielens,mistral,Blade Runner (1982),92.0,100.0,True,,541,
movielens,claude,It's a Wonderful Life (1946),74.0,100.0,True,,953,
movielens,mistral,The Nice Guys,84.0,100.0,True,,158238,
